CisBP_ID	PDB_ID	CisBP_BS_len	PDB_BS_len	Offset	P-value
M0531_1.02	1llm_1C	10	12	5	0.55852
M1281_1.02	3mzh_1B	9	19	-12	0.968995
M0912_1.02	2ld5_1A	10	11	1	0.459841
M0033_1.02	1gcc_1A	8	11	0	0.16476
M0675_1.02	1cf7_1A	10	15	-3	0.287361
M1625_1.02	1h6f_1B	10	18	-6	0.000182651
M0351_1.02	1gd2_1E	11	12	0	0.226656
M0681_1.02	5v8f_17	9	18	-6	0.872632
M1167_1.02	1b72_1B	8	19	-16	0.979446
M0336_1.02	1gd2_1E	10	12	2	0.467108
M0272_1.02	1dh3_1C	12	19	-3	0.279981
M0223_1.02	1hlo_1A	9	11	-2	0.00394495
M0703_1.02	1hbx_1G	10	25	-14	0.001728
M1325_1.02	5lxu_1A	9	9	0	0.0186026
M0374_1.02	2kmk_1A	7	16	-5	0.480398
M0804_1.02	5gat_1A	10	13	-1	0.43479
M0490_1.02	2i13_1A	8	21	-10	0.964235
M0040_1.02	1gcc_1A	8	11	-1	0.0790408
M1629_1.02	4s0h_1E	8	18	-4	0.680981
M0044_1.02	1gcc_1A	10	11	1	0.0329453
M0462_1.02	1p47_1B	8	19	-9	0.310804
M1683_1.02	2lex_1A	10	10	-1	0.0220468
M1674_1.02	1h6f_1B	10	18	-11	0.0332621
M0852_1.02	1fjl_1A	10	14	3	0.531775
M0914_1.02	1ahd_1P	9	14	-3	0.0100772
M1763_1.02	3coq_1B	12	19	-10	0.155684
M0239_1.02	4atk_1A	8	16	-4	0.00209683
M0765_1.02	1gau_1A	9	8	2	0.398997
M1196_1.02	4xrm_1B	10	16	-5	0.74457
M0153_1.02	4atk_1B	9	16	-3	0.0058517
M1583_1.02	1gt0_1D	8	18	-3	0.182492
M1715_1.02	3coq_1B	9	19	-10	0.484116
M0344_1.02	5vpe_1D	9	9	1	0.476792
M1635_1.02	5t1j_1B	10	19	-3	0.00316568
M0986_1.02	6fqp_1A	8	16	-1	0.748933
M0401_1.02	5ke7_1A	9	10	1	0.269714
M1272_1.02	2irf_1L	10	21	-9	0.583804
M0741_1.02	6akp_1C	10	16	4	0.131289
M0955_1.02	5lux_1K	9	16	-3	0.452179
M0899_1.02	3d1n_1O	10	11	5	0.954156
M0911_1.02	2me6_1A	10	14	-3	0.0171909
M1740_1.02	2er8_1A	8	12	-4	0.274667
M0764_1.02	5gat_1A	10	13	0	0.609666
M0427_1.02	5fj8_1A	10	12	2	0.961439
M1321_1.02	5lxu_1A	10	9	1	0.0720509
M1365_1.02	1h8a_1C	9	19	-10	0.273504
M1723_1.02	1f5e_1P	9	10	2	0.643478
M0021_1.02	1gcc_1A	8	11	0	0.0132306
M0483_1.02	2i13_1A	10	21	0	0.677522
M0712_1.02	5ybd_1X	9	9	0	0.00842057
M0141_1.02	3zhm_1A	12	9	-2	0.961042
M0748_1.02	2uzk_1A	10	13	-2	0.00103692
M1333_1.02	1h89_1C	11	19	-6	0.0153779
M1310_1.02	5lxu_1A	10	9	1	0.0234397
M1023_1.02	1nk2_1P	9	14	-7	0.473407
M1591_1.02	3f27_1D	8	16	-6	1.15064e-05
M1260_1.02	2irf_1L	10	21	-7	0.519597
M0319_1.02	5zko_1C	10	20	-4	0.0522242
M1339_1.02	1vfc_1A	9	13	-3	0.0284553
M0029_1.02	1gcc_1A	8	11	0	0.0756092
M0407_1.02	2i13_1A	9	21	-3	0.945029
M1470_1.02	5l0m_1A	8	12	-4	0.175287
M1773_1.02	6e33_1A	9	19	-9	0.285335
M0009_1.02	1gcc_1A	10	11	0	0.207151
M0268_1.02	1dh3_1C	10	19	-6	0.609946
M1457_1.02	4nqa_1A	8	16	1	0.00131455
M0425_1.02	5wjq_1D	9	28	-15	0.906403
M1239_1.02	2xsd_1C	9	10	0	0.162213
M1605_1.02	1gt0_1D	10	18	5	0.93731
M1759_1.02	1hwt_1H	13	13	4	0.122698
M1492_1.02	1hcq_2E	8	16	0	0.00115401
M1642_1.02	6gym_1O	7	23	-18	0.994815
M1809_1.02	1pyi_1B	8	14	-7	0.0789074
M0135_1.02	3d1n_2P	9	15	-6	0.374681
M0481_1.02	6b0r_1A	10	14	-4	0.579733
M1452_1.02	1ga5_1A	8	19	-10	4.85004e-05
M1617_1.02	6c1v_1B	10	12	0	0.603038
M0209_1.02	1mdy_1A	9	19	-2	0.00416148
M0290_1.02	3a5t_1B	10	15	-8	0.00127159
M0994_1.02	4xrm_1B	9	16	-6	0.0674318
M0488_1.02	5v3m_1C	8	28	-21	0.194035
M0667_1.02	1cf7_1A	10	15	-2	0.651039
M0900_1.02	3a01_1F	8	17	-2	0.00644917
M1379_1.02	1msf_1C	9	11	-1	0.373271
M1423_1.02	3dzu_1D	9	20	-5	0.0646574
M1266_1.02	2irf_1L	10	21	-13	0.870523
M0933_1.02	4xrm_1B	9	16	-6	0.000295493
M0277_1.02	1gd2_1E	10	12	-2	0.317635
M1559_1.02	4qcl_1A	9	11	1	0.92333
M0024_1.02	1gcc_1A	8	11	0	0.0939221
M1058_1.02	1hdd_1D	7	13	-9	0.103156
M0003_1.02	4lmg_1C	10	12	-2	0.1332
M1156_1.02	3a01_1A	9	17	-7	0.00340785
M0107_1.02	2oeh_1A	8	14	-1	0.202031
M1832_1.02	3coq_1B	7	19	-13	0.0861558
M0790_1.02	5gat_1A	9	13	-2	0.335584
M1696_1.02	2lex_1A	8	10	-2	0.0353883
M0787_1.02	1gau_1A	10	8	2	0.0327317
M0514_1.02	1p47_1B	9	19	-9	0.728147
M0411_1.02	5wjq_1D	15	28	-4	0.793727
M0367_1.02	1ysa_1D	8	17	-5	0.968787
M1700_1.02	2lex_1A	9	10	-1	0.00109494
M1139_1.02	3d1n_1O	7	11	4	0.964263
M1011_1.02	1ahd_1P	9	14	-3	0.000220324
M1298_1.02	1hbx_1E	10	15	-11	0.974786
M0387_1.02	1g2d_1F	8	21	-8	0.975682
M1190_1.02	2me6_1A	10	14	-1	0.433732
M0827_1.02	4xrm_1B	8	16	-7	0.185401
M0031_1.02	1gcc_1A	10	11	-1	0.489194
M1242_1.02	5wc9_1A	8	17	-2	0.0434497
M0997_1.02	2me6_1A	9	14	-2	0.0211667
M0909_1.02	6fqp_1A	9	16	-7	0.980778
M1080_1.02	5hod_1A	9	16	-8	0.0786222
M0324_1.02	1ysa_1D	10	17	-4	0.319882
M0604_1.02	6asb_1C	7	16	-4	0.794008
M1811_1.02	1hwt_1D	9	19	-6	0.811051
M1014_1.02	1ahd_1P	8	14	-4	0.000985731
M0179_1.02	5nj8_1D	12	22	-10	0.566681
M0106_1.02	1kqq_1A	9	15	-4	0.366869
M1111_1.02	5hod_1D	10	18	-7	0.291341
M0522_1.02	5kl4_1A	8	10	-2	0.00314525
M1613_1.02	1j5n_1A	8	15	1	0.658913
M1157_1.02	1puf_1A	10	19	-7	0.00348707
M1522_1.02	2as5_1N	10	16	2	0.0581394
M1590_1.02	1gt0_1D	9	18	-9	0.22891
M0358_1.02	6mg3_1B	9	16	-3	0.334252
M1247_1.02	2xsd_1C	10	10	1	0.00885835
M1601_1.02	3u2b_1C	9	16	-6	0.000586257
M1743_1.02	1hwt_1D	8	19	-4	0.747074
M0370_1.02	2i13_1A	7	21	0	0.286046
M1532_1.02	6a5v_1B	10	14	-2	0.328567
M1118_1.02	1fjl_1A	9	14	2	0.409094
M1231_1.02	1cqt_1A	8	14	0	0.699618
M0458_1.02	2i13_1A	7	21	-15	0.43753
M0973_1.02	1ic8_1B	8	20	-1	0.164376
M0694_1.02	1awc_1A	9	20	-3	5.9392e-05
M0778_1.02	4hc7_1A	8	18	-9	0.0993798
M0175_1.02	1hlo_1B	9	11	-1	0.397509
M0523_1.02	5kl4_1A	10	10	3	0.119303
M1039_1.02	2me6_1A	9	14	-3	0.0132873
M0695_1.02	1dux_1F	10	11	-3	0.601454
M0300_1.02	1t2k_1D	10	15	-1	0.0331509
M0368_1.02	2i13_1A	11	21	-1	0.721308
M1780_1.02	1hwt_1G	9	9	-2	0.883564
M0640_1.02	4yj0_1B	10	22	-12	1.0
M0963_1.02	5hod_1A	9	16	-9	0.145177
M1647_1.02	5uhg_1D	10	9	1	0.210688
M1374_1.02	3zqc_1G	8	8	-2	0.810451
M0825_1.02	4xrm_1A	11	16	4	0.78248
M0296_1.02	2wt7_1A	11	15	-2	0.123622
M0004_1.02	1gcc_1A	8	11	-1	0.0135388
M1415_1.02	3swp_1A	10	15	0	0.679381
M1487_1.02	4cn3_1D	10	14	1	0.731702
M1395_1.02	3sjm_1B	10	17	0	0.808177
M0258_1.02	1dh3_1C	10	19	-7	0.431302
M0972_1.02	3a01_1F	8	17	-2	0.00613147
M0176_1.02	2ypa_1A	9	11	-1	0.000758601
M1016_1.02	4xrm_1B	7	16	-8	0.719014
M1338_1.02	1h89_1C	10	19	-9	0.00870912
M1680_1.02	2lex_1A	10	10	-1	0.0257927
M1587_1.02	2lef_1A	10	15	-3	0.00645597
M0408_1.02	5wjq_1D	10	28	-21	0.992003
M0928_1.02	3a01_1F	7	17	-3	0.0324546
M1116_1.02	3a01_1B	10	17	-2	0.268158
M0872_1.02	4xrm_1B	10	16	-6	0.000736832
M0906_1.02	1fjl_1C	10	9	1	0.31466
M0346_1.02	5vpf_1B	9	18	-4	0.777111
M0824_1.02	1mnm_1D	8	13	0	0.910591
M0981_1.02	4rdu_1D	7	12	-1	0.180216
M0098_1.02	4ux5_1B	11	14	-5	0.762379
M1456_1.02	1r4i_1A	10	18	0	0.0837759
M0509_1.02	2i13_1A	10	21	-9	0.729458
M0505_1.02	4r2r_1A	9	10	3	0.832613
M1369_1.02	3osg_1D	9	10	-2	0.899883
M0157_1.02	5gnj_1F	8	13	-1	0.127775
M0595_1.02	5fd3_1B	10	12	4	0.907459
M0786_1.02	1gau_1A	8	8	1	0.0250404
M0092_1.02	4ux5_1B	10	14	-1	3.7709e-05
M1175_1.02	3a01_1A	10	17	4	0.314503
M0924_1.02	3d1n_1O	10	11	6	0.350728
M1217_1.02	6fqp_1B	10	16	-6	0.000358927
M1145_1.02	3a01_1B	9	17	-2	0.0937485
M1072_1.02	2h1k_1B	10	14	0	0.173609
M1172_1.02	1fjl_1A	8	14	0	0.78807
M1330_1.02	1msf_1C	8	11	-2	0.013714
M1278_1.02	2c9n_1Y	8	10	-1	0.718358
M0254_1.02	5v8f_12	9	16	-6	0.679347
M0779_1.02	7gat_1A	8	13	-2	0.263175
M0201_1.02	4ati_1B	10	16	-3	0.0246257
M0688_1.02	3jtg_1A	10	15	-4	0.000221969
M1224_1.02	1mdm_1A	10	25	-17	0.904664
M0743_1.02	2c6y_1A	12	15	0	0.0221149
M0855_1.02	4xrm_1B	10	16	-6	0.0057987
M0028_1.02	1gcc_1A	9	11	0	0.0315253
M0718_1.02	2c6y_1A	10	15	-1	0.0103417
M1096_1.02	3a01_1B	8	17	-3	0.57886
M1835_1.02	3coq_1B	8	19	-10	0.0129416
M1707_1.02	3coq_1B	10	19	-10	0.0173245
M0860_1.02	4rdu_1D	9	12	0	0.375655
M0231_1.02	1an4_1B	10	20	-5	0.0261811
M0429_1.02	5eh2_1F	10	19	0	0.884642
M1716_1.02	1zme_1D	10	16	-7	0.397099
M0379_1.02	2i13_1B	10	18	-1	0.790174
M1036_1.02	1ig7_1A	7	13	-3	0.149035
M1053_1.02	5lty_1K	10	18	-7	0.512875
M1045_1.02	1puf_1A	8	19	-8	0.00474793
M0555_1.02	2i13_1B	8	18	-1	0.978517
M0381_1.02	2i13_1B	10	18	-3	0.99392
M0895_1.02	4rbo_1D	9	12	-1	0.847322
M1501_1.02	1mdm_1A	10	25	-4	0.943552
M1211_1.02	6fqp_1B	8	16	-7	0.000172203
M1135_1.02	1fjl_1C	9	9	0	0.081549
M0144_1.02	3zqc_1G	8	8	1	0.290251
M0563_1.02	2i13_1B	8	18	1	0.999974
M0101_1.02	1kqq_1A	10	15	-3	0.769982
M1033_1.02	2xsd_1C	8	10	0	0.00721123
M0480_1.02	1ubd_1C	8	20	-2	0.498453
M1474_1.02	4nqa_1A	9	16	1	0.062658
M0794_1.02	3gat_1A	9	16	-4	0.360783
M1517_1.02	2as5_1N	10	16	2	0.0600673
M1609_1.02	1gt0_1D	10	18	0	0.33122
M1500_1.02	6pax_1A	10	24	-8	0.782597
M0596_1.02	5fd3_1A	8	10	4	0.514358
M1035_1.02	6fqp_1A	10	16	0	1.47442e-05
M1778_1.02	1pyi_1B	9	14	-4	0.00916841
M0185_1.02	2ypa_1B	10	11	1	0.0177639
M0420_1.02	2i13_1B	10	18	-3	0.876272
M0579_1.02	5i44_1F	10	28	-20	0.360292
M0449_1.02	5eh2_1F	10	19	-9	0.0777573
M1055_1.02	2r5z_1A	9	19	-8	0.00519774
M0355_1.02	1s9k_1D	8	16	-6	0.44538
M1324_1.02	5lxu_1A	10	9	1	0.00135835
M1419_1.02	6m7j_1J	10	21	-16	0.978105
M0781_1.02	1gau_1A	9	8	1	0.342615
M0015_1.02	1gcc_1A	9	11	0	0.132638
M0989_1.02	1cqt_1A	9	14	-4	0.31197
M0339_1.02	1h88_1B	8	16	-10	0.939435
M1293_1.02	5eyb_1A	10	25	-6	0.420373
M0734_1.02	6ako_1C	10	16	-3	0.00851502
M0320_1.02	5vpf_1B	9	18	-4	0.00294733
M1337_1.02	5lxu_1A	11	9	2	0.00167371
M1606_1.02	1j47_1A	13	14	-1	0.729335
M1736_1.02	3coq_1B	7	19	-8	0.870183
M1351_1.02	3osg_1A	8	12	0	0.556839
M1746_1.02	1zme_1D	8	16	-3	0.423078
M1128_1.02	3rkq_1A	9	17	-9	0.256075
M1599_1.02	1gt0_1D	9	18	-2	0.103907
M1307_1.02	5lxu_1A	8	9	1	0.068028
M1112_1.02	5hod_1A	9	16	-8	0.182539
M1026_1.02	1puf_1A	8	19	-8	0.000905763
M0030_1.02	1gcc_1A	8	11	-2	0.128133
M1502_1.02	5v8f_12	10	16	-6	0.963545
M1356_1.02	1h88_1C	10	19	-9	0.0542645
M0378_1.02	5wjq_1D	7	28	-13	0.99223
M0737_1.02	1vtn_1C	10	13	-3	0.000678346
M1323_1.02	5lxu_1A	10	9	1	0.0276409
M1271_1.02	2irf_1L	9	21	-10	0.0990112
M1562_1.02	1gxp_1A	12	21	-10	0.144885
M1717_1.02	2er8_1C	10	10	3	0.886891
M0069_1.02	4roe_1A	8	26	-17	0.301112
M0186_1.02	2ypb_1B	8	11	-1	0.0135057
M1386_1.02	1h88_1C	10	19	-10	0.0349625
M1305_1.02	1msf_1C	10	11	3	0.1154
M1671_1.02	2l1g_1A	8	16	-1	0.707967
M0858_1.02	1fjl_1A	8	14	-1	0.632073
M1236_1.02	1gt0_1C	9	23	-13	0.0981643
M1529_1.02	4m8b_1R	10	19	-8	0.571864
M1007_1.02	1puf_1A	9	19	-8	0.00161682
M1158_1.02	1puf_1A	10	19	-7	0.0009687
M0022_1.02	1gcc_1A	8	11	0	0.231322
M0976_1.02	2h1k_1B	8	14	-2	0.701824
M1335_1.02	1h8a_1C	8	19	-5	0.32261
M1153_1.02	5hod_1A	10	16	-7	0.286166
M0560_1.02	2i13_1B	8	18	-3	0.970959
M0414_1.02	4r2d_1A	10	10	0	0.0132681
M0772_1.02	3dfv_1D	12	18	-6	0.00171412
M1790_1.02	1hwt_1H	9	13	1	0.855394
M0453_1.02	2i13_1B	10	18	0	0.67952
M1125_1.02	2me6_1A	10	14	-2	0.010166
M0867_1.02	4xrm_1B	9	16	-7	0.909408
M0940_1.02	1ig7_1A	8	13	-2	0.183476
M0618_1.02	3pta_1A	7	19	-2	0.697461
M0547_1.02	5ei9_1E	8	20	-7	0.997983
M0273_1.02	1dh3_1C	10	19	-6	0.148161
M1741_1.02	1pyi_1B	11	14	-6	0.18086
M0460_1.02	2i13_1A	11	21	-1	0.895041
M0314_1.02	1h88_1B	10	16	-2	0.0715468
M1115_1.02	5hod_1A	8	16	-8	0.563409
M0385_1.02	1g2f_1F	10	21	-9	0.057467
M0985_1.02	6fqp_1A	10	16	-6	0.543956
M0717_1.02	2as5_1G	8	17	-10	0.308873
M0104_1.02	1kqq_1A	11	15	-2	0.0777635
M1056_1.02	2xsd_1C	10	10	1	0.0153662
M1494_1.02	4nqa_1A	9	16	2	0.00682132
M1516_1.02	3ukg_1A	10	27	-14	0.013069
M0808_1.02	4hc7_1A	10	18	-8	0.301953
M1491_1.02	1r0n_1A	8	17	-1	5.43146e-06
M0984_1.02	3a01_1F	8	17	-1	0.0370894
M1095_1.02	3rkq_1A	11	17	1	0.227319
M0252_1.02	5gnj_1B	8	13	-3	0.0246762
M1650_1.02	6ah0_4w	8	8	0	0.939787
M0261_1.02	1fos_1G	10	13	-2	0.217977
M1477_1.02	4iqr_2F	8	17	-8	0.108859
M0773_1.02	7gat_1A	7	13	-6	0.712523
M0569_1.02	2i13_1B	8	18	-1	0.570635
M0114_1.02	1kqq_1A	8	15	-1	0.511998
M1744_1.02	1hwt_1H	13	13	2	0.136773
M1485_1.02	2a66_1A	8	12	-4	0.502213
M0328_1.02	1gd2_1E	8	12	-7	0.90346
M0888_1.02	3a01_1B	10	17	-2	0.610348
M1032_1.02	3a01_1F	7	17	-2	0.0360462
M0067_1.02	5iyd_1O	8	11	2	0.999582
M0851_1.02	4uus_1A	10	13	-1	0.371005
M0308_1.02	3a5t_1B	10	15	-7	3.00326e-05
M0554_1.02	2i13_1B	8	18	1	0.893483
M1245_1.02	1cqt_1A	10	14	-2	0.0102145
M0096_1.02	4ux5_1B	8	14	-1	0.70107
M1810_1.02	1hwt_1D	9	19	3	0.887452
M1162_1.02	1mnm_1D	9	13	0	0.469879
M0549_1.02	2i13_1B	8	18	-6	0.762958
M1222_1.02	1fjl_1C	11	9	2	0.0313077
M1675_1.02	1g2d_1C	10	24	4	0.372267
M1110_1.02	2me6_1A	10	14	-1	0.261126
M0669_1.02	1cf7_1A	10	15	-1	0.669421
M0966_1.02	1nk2_1P	9	14	-2	0.000279483
M0816_1.02	1odh_1A	10	13	-1	0.00477394
M0349_1.02	6mg3_1B	12	16	0	0.352674
M0566_1.02	2i13_1B	8	18	-4	0.901775
M1312_1.02	1vfc_1A	10	13	-2	0.014855
M0171_1.02	4h10_1A	9	14	-3	0.0106821
M0854_1.02	5lux_1L	8	18	-5	0.372427
M0376_1.02	2kmk_1A	7	16	-5	0.0647283
M1573_1.02	5odg_1A	10	13	0	0.728455
M1136_1.02	6fqp_1B	11	16	1	0.0675951
M0220_1.02	4h10_1A	10	14	-3	0.00211468
M0439_1.02	2gli_1A	10	20	-1	0.5111
M0150_1.02	5gnj_1B	8	13	-3	0.0142678
M1108_1.02	3hdd_1A	10	19	-9	0.702999
M1360_1.02	5cqq_1A	10	27	-15	0.00476162
M1695_1.02	2lex_1A	8	10	-2	0.00246825
M1375_1.02	1h88_1C	8	19	-12	0.686964
M1320_1.02	5lxu_1A	10	9	1	0.044202
M0894_1.02	2me6_1A	8	14	-3	0.0200829
M1132_1.02	1fjl_1A	8	14	-4	0.559745
M0494_1.02	2i13_1B	10	18	-1	0.125415
M0269_1.02	1dh3_1C	10	19	-6	0.384205
M0599_1.02	5fd3_1A	10	10	4	0.258952
M0383_1.02	4r2d_1A	8	10	-1	0.000746751
M0298_1.02	2wt7_1A	9	15	-6	0.558255
M1144_1.02	1nk2_1P	10	14	-3	0.0097993
M0166_1.02	4atk_1B	8	16	-4	0.00020276
M0980_1.02	3a01_1F	9	17	-2	0.0280213
M0174_1.02	4ati_1B	10	16	-4	0.0127155
M0155_1.02	5gnj_1A	12	13	-2	0.0527134
M0199_1.02	4h10_1A	13	14	2	0.491927
M1433_1.02	4tnt_1B	9	16	-8	0.0133159
M0936_1.02	3a01_1F	9	17	-1	0.00599621
M0039_1.02	1gcc_1A	10	11	1	0.00952922
M0953_1.02	2xsd_1C	8	10	0	0.000772436
M1544_1.02	5w66_2O	10	15	-3	0.914851
M1269_1.02	2irf_1L	10	21	-10	0.224004
M0767_1.02	5gat_1A	10	13	0	0.0476643
M0932_1.02	3a01_1B	8	17	-3	0.0700201
M0902_1.02	3a01_1F	8	17	-2	0.0353732
M1389_1.02	1iv6_1A	10	13	0	0.000782422
M0070_1.02	5iyd_1T	8	11	-4	0.803117
M0921_1.02	2me6_1A	9	14	-2	0.0277637
M1399_1.02	1h88_1C	10	19	1	0.503976
M0068_1.02	5j70_1A	11	17	-6	0.967659
M0801_1.02	5gat_1A	8	13	-3	0.0252766
M1178_1.02	1ig7_1A	10	13	-2	0.0620061
M0216_1.02	2ypb_1A	10	11	0	0.0418467
M0503_1.02	1a1h_1A	9	10	1	0.381143
M1280_1.02	2h1k_1B	8	14	4	0.751348
M0389_1.02	2i13_1B	9	18	-3	0.76223
M1285_1.02	3osg_1D	10	10	4	0.0754009
M0814_1.02	1odh_1A	10	13	-1	0.00317341
M0452_1.02	5kkq_1A	10	17	-3	0.892841
M1334_1.02	5lxu_1A	10	9	1	0.0356977
M0322_1.02	5vpf_1B	9	18	-4	0.0059442
M1192_1.02	3a01_1A	8	17	-9	0.648225
M0409_1.02	2i13_1A	10	21	-4	0.704937
M0719_1.02	6ako_1C	8	16	-6	0.00215813
M0920_1.02	2lkx_1A	8	13	-3	0.198342
M0943_1.02	3a01_1F	8	17	-1	0.0284608
M1623_1.02	1h6f_1B	8	18	-7	0.000116229
M1430_1.02	1hlz_1A	8	19	-11	0.00549536
M0539_1.02	5ke7_1A	8	10	1	0.319601
M1282_1.02	5eyb_1B	13	19	-4	0.0532805
M1155_1.02	3a01_1B	10	17	2	0.978485
M0835_1.02	3d1n_1O	10	11	2	0.875451
M0862_1.02	1fjl_1A	8	14	-1	0.603457
M0284_1.02	1t2k_1D	10	15	-2	0.296903
M0541_1.02	1ubd_1C	10	20	-1	0.751927
M1064_1.02	2me6_1A	8	14	-2	0.0124722
M1481_1.02	5l0m_1A	11	12	-3	0.703602
M1796_1.02	6e33_1A	10	19	-5	0.00598845
M1106_1.02	4s0h_1F	8	8	1	0.341209
M0399_1.02	5ei9_1E	10	20	-11	0.426318
M0609_1.02	3pta_1A	10	19	0	0.130884
M1788_1.02	3coq_1B	11	19	-10	0.08256
M0843_1.02	9ant_2B	9	14	-4	0.0791358
M0780_1.02	1gau_1A	8	8	0	0.0688923
M0400_1.02	2i13_1B	8	18	-5	0.915971
M1427_1.02	1ynw_1A	10	16	-10	0.596505
M0495_1.02	5ke7_1A	10	10	-1	0.111203
M1400_1.02	3swp_1A	8	15	-5	0.757873
M0167_1.02	5gnj_1F	10	13	0	0.136326
M1585_1.02	2lef_1A	10	15	-3	0.00578952
M1019_1.02	1fjl_1A	7	14	-2	0.149995
M0903_1.02	1ahd_1P	7	14	-4	0.00043322
M0510_1.02	2i13_1A	8	21	-2	0.852601
M1833_1.02	1hwt_1D	10	19	1	0.28503
M0725_1.02	2a07_1F	9	19	-3	0.229435
M1063_1.02	3a01_1A	10	17	-7	0.0020032
M0151_1.02	5gnj_1F	7	13	-2	0.45659
M0313_1.02	1h88_1B	10	16	-1	0.00442967
M1824_1.02	1hwt_1H	8	13	-1	0.402478
M0112_1.02	1kqq_1A	8	15	-5	0.0593864
M0990_1.02	3a01_1A	9	17	-7	0.00561898
M1163_1.02	3a01_1A	9	17	-6	0.0118742
M0877_1.02	6fqp_1B	8	16	-8	0.00282041
M1184_1.02	3a01_1B	8	17	-3	0.353268
M0126_1.02	4xls_1D	8	21	-13	0.153387
M0853_1.02	1fjl_1A	8	14	-1	0.314276
M1434_1.02	4nqa_1A	8	16	2	0.0255194
M0394_1.02	5wjq_1D	10	28	-22	0.135912
M1498_1.02	1mdm_1A	11	25	-10	0.698021
M1829_1.02	1hwt_1H	8	13	0	0.0718293
M1626_1.02	1h6f_1B	10	18	-6	7.8302e-05
M0632_1.02	4yj0_1B	10	22	-12	1.0
M0782_1.02	4hc9_1A	8	18	-9	0.728486
M1574_1.02	5nm9_1A	11	18	-2	0.942288
M1765_1.02	1zme_1D	9	16	-5	0.563233
M0111_1.02	1kqq_1A	8	15	-5	0.399896
M0670_1.02	1cf7_1A	10	15	-1	0.729488
M1346_1.02	3sjm_1B	8	17	-1	0.11789
M1109_1.02	1jgg_1B	8	10	1	0.0850903
M1067_1.02	1fjl_1A	10	14	2	0.822775
M0294_1.02	1dh3_1C	10	19	-4	0.179209
M1205_1.02	2h1k_1B	8	14	-4	0.967694
M0561_1.02	2i13_1A	8	21	-10	0.25096
M0192_1.02	5nj8_1A	10	24	-1	0.737426
M1363_1.02	5lxu_1A	10	9	1	0.0309083
M0418_1.02	4r2d_1A	9	10	2	0.00736751
M0285_1.02	1t2k_1D	11	15	0	0.374362
M1611_1.02	2lef_1A	10	15	-3	0.0155392
M0616_1.02	4pzi_1A	7	12	-3	0.958914
M1767_1.02	1hwt_1D	10	19	-4	0.586769
M0169_1.02	1mdy_1D	8	20	-11	0.832169
M0602_1.02	5fd3_1B	10	12	3	0.94562
M1588_1.02	4s2q_1D	9	13	-1	0.0167074
M1641_1.02	5iyd_1P	7	10	1	0.562514
M1801_1.02	3coq_1B	10	19	-9	0.0190815
M1121_1.02	1fjl_1A	10	14	0	0.0404966
M0147_1.02	4ldx_1B	9	17	-5	0.582825
M0011_1.02	1gcc_1A	8	11	-1	0.0135889
M1514_1.02	1xpx_1A	10	10	-3	0.77769
M1510_1.02	6cnd_1R	9	17	-5	0.804758
M1332_1.02	5lxu_1A	10	9	2	0.347099
