CisBP_ID	Uniprot_ID	Specie	Specie_ID	Family
M0801_1.02	Unknown	Saccharomyces cerevisiae	Unknown	GATA
M0328_1.02	Unknown	Oryza sativa	Unknown	bZIP
M0327_1.02	Unknown	Oryza sativa	Unknown	bZIP
M0604_1.02	Unknown	Danio rerio	Unknown	CxxC
M0286_1.02	Unknown	Dictyostelium discoideum	Unknown	bZIP
M0596_1.02	Unknown	Drosophila yakuba	Unknown	CxC
M0710_1.02	Unknown	Mus musculus	Unknown	Ets
M0329_1.02	Unknown	Oryza sativa	Unknown	bZIP
M1075_1.02	Unknown	Rattus norvegicus	Unknown	Homeodomain
M1427_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M1086_1.02	Unknown	Caenorhabditis elegans	Unknown	Homeodomain
M1109_1.02	Unknown	Caenorhabditis elegans	Unknown	Homeodomain
M1476_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M0499_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M0869_1.02	Unknown	Caenorhabditis briggsae	Unknown	Homeodomain
M0688_1.02	Unknown	Mus musculus	Unknown	Ets
M0687_1.02	Unknown	Mus musculus	Unknown	Ets
M0560_1.02	Unknown	PBM CONSTRUCTS	Unknown	C2H2 ZF
M1430_1.02	Unknown	Caenorhabditis briggsae	Unknown	Nuclear receptor
M0322_1.02	Unknown	Xenopus tropicalis	Unknown	bZIP
M1621_1.02	Unknown	Oryza sativa	Unknown	Storekeeper
M1413_1.02	Unknown	Physcomitrella patens	Unknown	NAC/NAM
M1457_1.02	Unknown	Mus musculus	Unknown	Nuclear receptor
M0916_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0171_1.02	Unknown	Caenorhabditis elegans	Unknown	bHLH
M0641_1.02	Unknown	Drosophila melanogaster	Unknown	DM
M1614_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Sox
M1101_1.02	Unknown	Drosophila melanogaster	Unknown	Homeodomain
M0805_1.02	Unknown	Saccharomyces cerevisiae	Unknown	GATA
M0804_1.02	Unknown	Saccharomyces cerevisiae	Unknown	GATA
M1114_1.02	Unknown	Neurospora crassa	Unknown	Homeodomain
M1201_1.02	Unknown	Nematostella vectensis	Unknown	Homeodomain
M1738_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M0467_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF
M0074_1.02	Unknown	Physcomitrella patens	Unknown	AP2
M0412_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1788_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1787_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M0476_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF
M0104_1.02	Unknown	Mus musculus	Unknown	ARID/BRIGHT
M1674_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Unknown
M0276_1.02	Unknown	Caenorhabditis elegans	Unknown	bZIP
M1601_1.02	Unknown	Mus musculus	Unknown	Sox
M1257_1.02	Unknown	Trichomonas vaginalis	Unknown	IBD
M1321_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M1293_1.02	Unknown	Medicago truncatula	Unknown	MADF
M1359_1.02	Unknown	Mus musculus	Unknown	Myb/SANT
M1411_1.02	Unknown	Oryza sativa	Unknown	NAC/NAM
M1380_1.02	Unknown	Trichomonas vaginalis	Unknown	Myb/SANT
M0278_1.02	Unknown	Aspergillus nidulans	Unknown	bZIP
M0332_1.02	Unknown	Neurospora crassa	Unknown	bZIP
M0110_1.02	Unknown	Rattus norvegicus	Unknown	ARID/BRIGHT
M1449_1.02	Unknown	Mus musculus	Unknown	Nuclear receptor
M0395_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1613_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Sox
M0356_1.02	Unknown	Saccharomyces cerevisiae	Unknown	bZIP
M0280_1.02	Unknown	Aspergillus nidulans	Unknown	bZIP
M1446_1.02	Unknown	Mus musculus	Unknown	Nuclear receptor
M0606_1.02	Unknown	Danio rerio	Unknown	CxxC
M0133_1.02	Unknown	Mus musculus	Unknown	AT hook
M0678_1.02	Unknown	Ostreococcus tauri	Unknown	E2F
M0158_1.02	Unknown	Arabidopsis thaliana	Unknown	bHLH
M0180_1.02	Unknown	Mus musculus	Unknown	bHLH
M0620_1.02	Unknown	Brugia malayi	Unknown	DM
M0861_1.02	Unknown	Caenorhabditis elegans	Unknown	Homeodomain
M1100_1.02	Unknown	Drosophila melanogaster	Unknown	Homeodomain
M0934_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0939_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0405_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1468_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M1514_1.02	Unknown	Caenorhabditis elegans	Unknown	Prospero
M1631_1.02	Unknown	Mus musculus	Unknown	T-box
M0495_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M1191_1.02	Unknown	Nematostella vectensis	Unknown	Homeodomain
M1472_1.02	Unknown	Drosophila pseudoobscura	Unknown	Nuclear receptor
M0224_1.02	Unknown	Mus musculus	Unknown	bHLH
M1014_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1037_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1038_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0301_1.02	Unknown	Mus musculus	Unknown	bZIP
M1009_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1010_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1268_1.02	Unknown	Mus musculus	Unknown	IRF
M1546_1.02	Unknown	Meleagris gallopavo	Unknown	SAND
M1485_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M1568_1.02	Unknown	Populus trichocarpa	Unknown	SBP
M0368_1.02	Unknown	Cryptococcus neoformans	Unknown	C2H2 ZF
M0880_1.02	Unknown	Ciona intestinalis	Unknown	Homeodomain
M1763_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M1623_1.02	Unknown	Nasonia vitripennis	Unknown	T-box
M1693_1.02	Unknown	Arabidopsis thaliana	Unknown	WRKY
M0406_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1633_1.02	Unknown	Mus musculus	Unknown	T-box
M1722_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M1807_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1806_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M0852_1.02	Unknown	Arabidopsis thaliana	Unknown	Homeodomain
M0832_1.02	Unknown	Cryptococcus neoformans	Unknown	Homeodomain
M1528_1.02	Unknown	Mus musculus	Unknown	RFX
M0226_1.02	Unknown	Caenorhabditis elegans	Unknown	bHLH
M0350_1.02	Unknown	Caenorhabditis elegans	Unknown	bZIP
M1057_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0156_1.02	Unknown	Arabidopsis thaliana	Unknown	bHLH
M0207_1.02	Unknown	Mus musculus	Unknown	bHLH
M1338_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M0526_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M1339_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M0650_1.02	Unknown	Arabidopsis thaliana	Unknown	Dof
M1389_1.02	Unknown	Ostreococcus tauri	Unknown	Myb/SANT
M0177_1.02	Unknown	Mus musculus	Unknown	bHLH
M1104_1.02	Unknown	Drosophila melanogaster	Unknown	Homeodomain
M0150_1.02	Unknown	Arabidopsis thaliana	Unknown	bHLH
M0194_1.02	Unknown	Mus musculus	Unknown	bHLH
M1634_1.02	Unknown	Takifugu rubripes	Unknown	T-box
M0992_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0378_1.02	Unknown	Arabidopsis thaliana	Unknown	C2H2 ZF
M1020_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1103_1.02	Unknown	Drosophila melanogaster	Unknown	Homeodomain
M0793_1.02	Unknown	Saccharomyces cerevisiae	Unknown	GATA
M0794_1.02	Unknown	Saccharomyces cerevisiae	Unknown	GATA
M0126_1.02	Unknown	Danio rerio	Unknown	AT hook
M0759_1.02	Unknown	Arabidopsis thaliana	Unknown	GATA
M1381_1.02	Unknown	Trichomonas vaginalis	Unknown	Myb/SANT
M0922_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1685_1.02	Unknown	Arabidopsis thaliana	Unknown	WRKY
M1275_1.02	Unknown	Physcomitrella patens	Unknown	LOB
M0961_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1718_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M1098_1.02	Unknown	Drosophila melanogaster	Unknown	Homeodomain
M1808_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1809_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M0492_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M0480_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF
M1123_1.02	Unknown	Caenorhabditis elegans	Unknown	Homeodomain
M1464_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M1463_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M1016_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1386_1.02	Unknown	Phytophthora ramorum	Unknown	Myb/SANT
M0167_1.02	Unknown	Arabidopsis thaliana	Unknown	bHLH
M1773_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1772_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1225_1.02	Unknown	Caenorhabditis elegans	Unknown	Paired box;Homeodomain
M1011_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1392_1.02	Unknown	Ostreococcus tauri	Unknown	Myb/SANT
M1783_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M0270_1.02	Unknown	Arabidopsis thaliana	Unknown	bZIP
M0496_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M1215_1.02	Unknown	Medicago truncatula	Unknown	Homeodomain
M1742_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M0154_1.02	Unknown	Arabidopsis thaliana	Unknown	bHLH
M0483_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF
M1173_1.02	Unknown	Tripedalia cystophora	Unknown	Homeodomain
M0457_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M0124_1.02	Unknown	Anolis carolinensis	Unknown	AT hook
M0393_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1711_1.02	Unknown	Aspergillus nidulans	Unknown	Zinc cluster
M0202_1.02	Unknown	Mus musculus	Unknown	bHLH
M0201_1.02	Unknown	Mus musculus	Unknown	bHLH
M1145_1.02	Unknown	Encephalitozoon cuniculi	Unknown	Homeodomain
M1715_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M0443_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M0037_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M1309_1.02	Unknown	Cannabis sativa	Unknown	Myb/SANT
M1348_1.02	Unknown	Dictyostelium discoideum	Unknown	Myb/SANT
M1569_1.02	Unknown	PBM CONSTRUCTS	Unknown	SBP
M0006_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M1281_1.02	Unknown	Xenopus tropicalis	Unknown	MADF
M1648_1.02	Unknown	Arabidopsis thaliana	Unknown	TCP
M1082_1.02	Unknown	Tetraodon nigroviridis	Unknown	Homeodomain
M0897_1.02	Unknown	Homo sapiens	Unknown	Homeodomain
M0816_1.02	Unknown	Takifugu rubripes	Unknown	GCM
M1027_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0915_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1597_1.02	Unknown	Mus musculus	Unknown	Sox
M1596_1.02	Unknown	Mus musculus	Unknown	Sox
M0864_1.02	Unknown	Caenorhabditis elegans	Unknown	Homeodomain
M0465_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF
M0290_1.02	Unknown	Mus musculus	Unknown	bZIP
M1325_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M0379_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M1646_1.02	Unknown	Arabidopsis thaliana	Unknown	TCP
M0913_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1640_1.02	Unknown	Strongylocentrotus purpuratus	Unknown	T-box
M0431_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M0432_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M0022_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M1323_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M1645_1.02	Unknown	Arabidopsis thaliana	Unknown	TCP
M0899_1.02	Unknown	Homo sapiens	Unknown	Homeodomain
M1096_1.02	Unknown	Drosophila melanogaster	Unknown	Homeodomain
M1047_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1048_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1046_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0024_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M0879_1.02	Unknown	Ciona intestinalis	Unknown	Homeodomain
M0016_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M0046_1.02	Unknown	Plasmodium falciparum	Unknown	AP2
M1222_1.02	Unknown	Xenopus laevis	Unknown	Homeodomain
M1563_1.02	Unknown	Arabidopsis thaliana	Unknown	SBP
M0497_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M0959_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0840_1.02	Unknown	Arabidopsis thaliana	Unknown	Homeodomain
M1081_1.02	Unknown	Tetraodon nigroviridis	Unknown	Homeodomain
M0341_1.02	Unknown	Schizosaccharomyces pombe	Unknown	bZIP
M1600_1.02	Unknown	Mus musculus	Unknown	Sox
M0699_1.02	Unknown	Mus musculus	Unknown	Ets
M1296_1.02	Unknown	Caenorhabditis elegans	Unknown	MADS box
M0148_1.02	Unknown	Caenorhabditis elegans	Unknown	BED ZF
M1351_1.02	Unknown	Dictyostelium discoideum	Unknown	Myb/SANT
M0682_1.02	Unknown	Arabidopsis thaliana	Unknown	EIN3
M0536_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M0866_1.02	Unknown	Aspergillus oryzae	Unknown	Homeodomain
M0912_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0506_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M0445_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M0524_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M1492_1.02	Unknown	Aplysia californica	Unknown	Nuclear receptor
M1679_1.02	Unknown	Arabidopsis thaliana	Unknown	WRKY
M0724_1.02	Unknown	Mus musculus	Unknown	Forkhead
M1769_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M0363_1.02	Unknown	Ostreococcus tauri	Unknown	bZIP
M1310_1.02	Unknown	Cannabis sativa	Unknown	Myb/SANT
M0660_1.02	Unknown	Physcomitrella patens	Unknown	Dof
M0895_1.02	Unknown	Homo sapiens	Unknown	Homeodomain
M0235_1.02	Unknown	Neurospora crassa	Unknown	bHLH
M0442_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1204_1.02	Unknown	Nematostella vectensis	Unknown	Homeodomain
M1307_1.02	Unknown	Cannabis sativa	Unknown	Myb/SANT
M0364_1.02	Unknown	Ostreococcus tauri	Unknown	bZIP
M1026_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1295_1.02	Unknown	Xenopus laevis	Unknown	MADF
M0082_1.02	Unknown	Mus musculus	Unknown	AP-2
M0049_1.02	Unknown	Plasmodium falciparum	Unknown	AP2
M0048_1.02	Unknown	Plasmodium falciparum	Unknown	AP2
M0050_1.02	Unknown	Plasmodium falciparum	Unknown	AP2
M0659_1.02	Unknown	Physcomitrella patens	Unknown	Dof
M1318_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M1248_1.02	Unknown	Aspergillus nidulans	Unknown	HSF
M1235_1.02	Unknown	Mus musculus	Unknown	POU;Homeodomain
M0884_1.02	Unknown	Danio rerio	Unknown	Homeodomain
M0293_1.02	Unknown	Mus musculus	Unknown	bZIP
M0671_1.02	Unknown	Ornithorhynchus anatinus	Unknown	E2F
M0178_1.02	Unknown	Mus musculus	Unknown	bHLH
M0904_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0875_1.02	Unknown	Dictyostelium discoideum	Unknown	Homeodomain
M0736_1.02	Unknown	Mus musculus	Unknown	Forkhead
M1541_1.02	Unknown	Schistosoma mansoni	Unknown	Runt
M0102_1.02	Unknown	Danio rerio	Unknown	ARID/BRIGHT
M1458_1.02	Unknown	Tetraodon nigroviridis	Unknown	Nuclear receptor
M0411_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1552_1.02	Unknown	Mus musculus	Unknown	SAND
M0374_1.02	Unknown	Arabidopsis thaliana	Unknown	C2H2 ZF
M0525_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M1378_1.02	Unknown	Trichomonas vaginalis	Unknown	Myb/SANT
M0820_1.02	Unknown	Gallus gallus	Unknown	Grainyhead
M1676_1.02	Unknown	Trichomonas vaginalis	Unknown	VHR1
M0498_1.02	Unknown	Caenorhabditis elegans	Unknown	C2H2 ZF
M0617_1.02	Unknown	PBM CONSTRUCTS	Unknown	CxxC
M0812_1.02	Unknown	Mus musculus	Unknown	GCM
M1548_1.02	Unknown	Monodelphis domestica	Unknown	SAND
M1732_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M0774_1.02	Unknown	Dictyostelium discoideum	Unknown	GATA
M1755_1.02	Unknown	Neurospora crassa	Unknown	Zinc cluster
M1707_1.02	Unknown	Fusarium graminearum	Unknown	Zinc cluster
M1083_1.02	Unknown	Tetraodon nigroviridis	Unknown	Homeodomain
M1212_1.02	Unknown	Phaeosphaeria nodorum	Unknown	Homeodomain
M0468_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF
M0963_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0415_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1365_1.02	Unknown	Oryza sativa	Unknown	Myb/SANT
M0010_1.02	Unknown	Arabidopsis thaliana	Unknown	AP2
M1414_1.02	Unknown	Physcomitrella patens	Unknown	NAC/NAM
M0370_1.02	Unknown	Arabidopsis thaliana	Unknown	C2H2 ZF
M0439_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1331_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M0284_1.02	Unknown	Dictyostelium discoideum	Unknown	bZIP
M0579_1.02	Unknown	Caenorhabditis elegans	Unknown	CENPB
M1767_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M1768_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M0808_1.02	Unknown	Ostreococcus tauri	Unknown	GATA
M0725_1.02	Unknown	Mus musculus	Unknown	Forkhead
M0967_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0099_1.02	Unknown	Nectria haematococca	Unknown	APSES
M1425_1.02	Unknown	Caenorhabditis elegans	Unknown	Nuclear receptor
M1632_1.02	Unknown	Mus musculus	Unknown	T-box
M1336_1.02	Unknown	Arabidopsis thaliana	Unknown	Myb/SANT
M1641_1.02	Unknown	Mus musculus	Unknown	TBP
M0566_1.02	Unknown	PBM CONSTRUCTS	Unknown	C2H2 ZF
M1515_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Rap1
M1516_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Rap1
M0657_1.02	Unknown	Arabidopsis thaliana	Unknown	Dof
M0603_1.02	Unknown	Homo sapiens	Unknown	CxxC
M1531_1.02	Unknown	Mus musculus	Unknown	RFX
M1004_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M1005_1.02	Unknown	Mus musculus	Unknown	Homeodomain
M0475_1.02	Unknown	Neurospora crassa	Unknown	C2H2 ZF
M1709_1.02	Unknown	Histoplasma capsulatum	Unknown	Zinc cluster
M1810_1.02	Unknown	Saccharomyces cerevisiae	Unknown	Zinc cluster
M0849_1.02	Unknown	Arabidopsis thaliana	Unknown	Homeodomain
M1356_1.02	Unknown	Mus musculus	Unknown	Myb/SANT
M1183_1.02	Unknown	Lingula unguis	Unknown	Homeodomain
M0521_1.02	Unknown	Saccharomyces cerevisiae	Unknown	C2H2 ZF
M0433_1.02	Unknown	Mus musculus	Unknown	C2H2 ZF
M1562_1.02	Unknown	Arabidopsis thaliana	Unknown	SBP
