Jaspar_ID	Uniprot_ID	Specie	Specie_ID	Family
MA0129.1	P14232	Nicotiana sp.	4094	Unknown
MA0130.1	Q86Y25	Homo sapiens	9606	More than 3 adjacent zinc finger factors
MA0131.2	Q9BQA5	Homo sapiens	9606	Factors with multiple dispersed zinc fingers
MA0132.2	P52945	Homo sapiens	9606	HOX-related factors
MA0135.1	P50481	Mus musculus	10090	HD-LIM factors
MA0136.2	Q9UKW6	Homo sapiens	9606	Ets-related factors
MA0137.3	P42224	Homo sapiens	9606	STAT factors
MA0138.2	Q13127	Homo sapiens	9606	Factors with multiple dispersed zinc fingers
MA0139.1	P49711	Homo sapiens	9606	More than 3 adjacent zinc finger factors
MA0140.2	P15976	Homo sapiens	9606	GATA-type zinc fingers
MA0141.3	O95718	Homo sapiens	9606	Steroid hormone receptors (NR3)
MA0142.1	P20263	Mus musculus	10090	POU domain factors
MA0143.3	P48432	Mus musculus	10090	SOX-related factors
MA0144.2	P40763	Homo sapiens	9606	STAT factors
MA0145.3	Q12800	Homo sapiens	9606	CP2-related factors
MA0146.2	P17012	Mus musculus	10090	More than 3 adjacent zinc finger factors
MA0147.3	P01106	Homo sapiens	9606	bHLH-ZIP factors
MA0148.3	P55317	Homo sapiens	9606	Forkhead box (FOX) factors
MA0149.1	F1JVV7	Homo sapiens	9606	Ets-related factors
MA0150.2	Q60795	Mus musculus	10090	Jun-related factors
MA0151.1	Q62431	Mus musculus	10090	ARID-related factors
MA0152.1	Q13469	Mus musculus	10090	NFAT-related factors
MA0153.2	P35680	Homo sapiens	9606	POU domain factors
MA0154.3	Q9UH73	Homo sapiens	9606	Early B-Cell Factor-related factors
MA0155.1	Q01101	Homo sapiens	9606	Factors with multiple dispersed zinc fingers
MA0156.2	Q99581	Homo sapiens	9606	Ets-related factors
MA0157.2	O43524	Homo sapiens	9606	Forkhead box (FOX) factors
MA0158.1	P20719	Mus musculus	10090	HOX-related factors
MA0159.1	P10276	Homo sapiens	9606	Thyroid hormone receptor-related factors (NR1)
MA0160.1	P43354	Mus musculus	10090	NGFI-B-related receptors (NR4)
MA0161.2	P08651	Homo sapiens	9606	Nuclear factor 1
MA0162.3	P18146	Homo sapiens	9606	Three-zinc finger Kruppel-related factors 
MA0163.1	Q6DJT9	Homo sapiens	9606	More than 3 adjacent zinc finger factors
MA0164.1	Q9QXZ7	Mus musculus	10090	RXR-related receptors (NR2)
MA0165.1	P09087	Drosophila melanogaster	7227	HOX-related factors
MA0166.1	P02833	Drosophila melanogaster	7227	HOX-related factors
MA0167.1	Q8IRC7	Drosophila melanogaster	7227	Unknown
MA0168.1	Q24255	Drosophila melanogaster	7227	HOX-related factors
MA0169.1	Q24256	Drosophila melanogaster	7227	HOX-related factors
MA0170.1	Q7KS72	Drosophila melanogaster	7227	Unknown
MA0171.1	Q9VYL0	Drosophila melanogaster	7227	Unknown
MA0172.1	Q9W3C6	Drosophila melanogaster	7227	Unknown
MA0173.1	Q9VPL4	Drosophila melanogaster	7227	Unknown
MA0174.1	Q9W064	Drosophila melanogaster	7227	Unknown
MA0175.1	Q8MZ02	Drosophila melanogaster	7227	Unknown
MA0176.1	Q9VDH9	Drosophila melanogaster	7227	Unknown
MA0177.1	Q9VEA3	Drosophila melanogaster	7227	Unknown
MA0178.1	Q9VTW5	Drosophila melanogaster	7227	Unknown
MA0179.1	Q9VWH1	Drosophila melanogaster	7227	Unknown
MA0180.1	Q9W4B3	Drosophila melanogaster	7227	Paired-related HD factors
MA0181.1	Q5U1D9	Drosophila melanogaster	7227	Paired-related HD factors
MA0182.1	Q9VTW3	Drosophila melanogaster	7227	Unknown
MA0183.1	Q9VDF0	Drosophila melanogaster	7227	Unknown
MA0184.1	Q7YU61	Drosophila melanogaster	7227	Unknown
MA0185.1	Q24180	Drosophila melanogaster	7227	DEAF
MA0186.1	P07548	Drosophila melanogaster	7227	HOX-related factors
MA0187.1	P20009	Drosophila melanogaster	7227	Unknown
MA0188.1	Q03372	Drosophila melanogaster	7227	NK-related factors
MA0189.1	Q9VFQ3	Drosophila melanogaster	7227	Unknown
MA0190.1	P54366	Drosophila melanogaster	7227	Paired-related HD factors
MA0191.1	Q9NHP8	Drosophila melanogaster	7227	NK-related factors
MA0192.1	Q9VEI9	Drosophila melanogaster	7227	NK-related factors
MA0193.1	Q9W423	Drosophila melanogaster	7227	Unknown
MA0194.1	Q9V472	Drosophila melanogaster	7227	HD-LIM factors
MA0195.1	Q9VJ02	Drosophila melanogaster	7227	HD-LIM factors
MA0196.1	O61640	Drosophila melanogaster	7227	NK-related factors
MA0197.2	P31368	Drosophila melanogaster	7227	POU domain factors
MA0198.1	O96616	Drosophila melanogaster	7227	Paired-related HD factors
MA0199.1	Q95RW8	Drosophila melanogaster	7227	HD-SINE factors
MA0200.1	Q8T0V5	Drosophila melanogaster	7227	Unknown
MA0201.1	O18400	Drosophila melanogaster	7227	Paired-related HD factors
MA0202.1	Q9W2Q1	Drosophila melanogaster	7227	Paired-related HD factors
MA0203.1	P09077	Drosophila melanogaster	7227	HOX-related factors
MA0204.1	Q9Y1P6	Drosophila melanogaster	7227	HD-SINE factors
MA0205.1	Q08605	Drosophila melanogaster	7227	Unknown
MA0206.1	P29555	Drosophila melanogaster	7227	HOX-related factors
MA0207.1	A1Z916	Drosophila melanogaster	7227	Unknown
MA0208.1	Q06453	Drosophila melanogaster	7227	Paired-related HD factors
MA0209.1	P29673	Drosophila melanogaster	7227	Unknown
MA0210.1	Q24248	Drosophila melanogaster	7227	TALE-type homeo domain factors
MA0211.1	P22809	Drosophila melanogaster	7227	NK-related factors
MA0212.1	P09081	Drosophila melanogaster	7227	Paired-related HD factors
MA0213.1	Q9XTN4	Drosophila melanogaster	7227	Unknown
MA0214.1	Q04787	Drosophila melanogaster	7227	NK-related factors
MA0215.1	Q9U984	Drosophila melanogaster	7227	Unknown
MA0216.2	P09085	Drosophila melanogaster	7227	HOX-related factors
MA0217.1	P54269	Drosophila melanogaster	7227	TALE-type homeo domain factors
MA0218.1	P10180	Drosophila melanogaster	7227	HD-CUT factors
MA0219.1	P18488	Drosophila melanogaster	7227	NK-related factors
MA0220.1	P02836	Drosophila melanogaster	7227	NK-related factors
MA0221.1	P06602	Drosophila melanogaster	7227	HOX-related factors
MA0222.1	P40427	Drosophila melanogaster	7227	TALE-type homeo domain factors
MA0224.1	Q9VSC2	Drosophila melanogaster	7227	Unknown
MA0225.1	P02835	Drosophila melanogaster	7227	HOX-related factors
MA0226.1	Q9W2P8	Drosophila melanogaster	7227	Unknown
MA0227.1	O46339	Drosophila melanogaster	7227	TALE-type homeo domain factors
MA0228.1	O96620	Drosophila melanogaster	7227	Unknown
MA0229.1	P05527	Drosophila melanogaster	7227	NK-related factors
MA0230.1	P10105	Drosophila melanogaster	7227	HOX-related factors
MA0231.1	Q9VDA1	Drosophila melanogaster	7227	Unknown
MA0232.1	P91626	Drosophila melanogaster	7227	Unknown
MA0233.1	O01667	Drosophila melanogaster	7227	Unknown
MA0234.1	P22810	Drosophila melanogaster	7227	Paired-related HD factors
MA0235.1	Q9NJB5	Drosophila melanogaster	7227	HD-CUT factors
MA0236.1	P56672	Drosophila melanogaster	7227	Paired-related HD factors
MA0237.2	Q8IMA8	Drosophila melanogaster	7227	Unknown
MA0238.1	P31264	Drosophila melanogaster	7227	HOX-related factors
MA0239.1	P23758	Drosophila melanogaster	7227	Unknown
MA0240.1	Q24477	Drosophila melanogaster	7227	Unknown
MA0241.1	P10181	Drosophila melanogaster	7227	Unknown
MA0242.1	Q24040	Drosophila melanogaster	7227	Runt-related factors
MA0243.1	P30052	Drosophila melanogaster	7227	Unknown
MA0244.1	Q02637	Drosophila melanogaster	7227	C/EBP-related
MA0245.1	P22807	Drosophila melanogaster	7227	NK-related factors
MA0246.1	Q27350	Drosophila melanogaster	7227	HD-SINE factors
MA0247.2	P22711	Drosophila melanogaster	7227	Unknown
MA0248.1	Q9VJ37	Drosophila melanogaster	7227	HD-LIM factors
MA0249.1	P10627	Drosophila melanogaster	7227	Unknown
MA0250.1	O77215	Drosophila melanogaster	7227	Paired-related HD factors
MA0251.1	Q4V5A3	Drosophila melanogaster	7227	Unknown
MA0252.1	A1Z913	Drosophila melanogaster	7227	Unknown
MA0253.1	P22808	Drosophila melanogaster	7227	NK-related factors
MA0254.1	P16241	Drosophila melanogaster	7227	POU domain factors
MA0255.1	P09956	Drosophila melanogaster	7227	Unknown
MA0256.1	P09089	Drosophila melanogaster	7227	Unknown
MA0257.1	P09090	Drosophila melanogaster	7227	Unknown
MA0258.2	Q92731	Homo sapiens	9606	Steroid hormone receptors (NR3)
MA0259.1	P27540	Mus musculus	10090	PAS domain factors
MA0260.1	Q966L8	Caenorhabditis elegans	6239	More than 3 adjacent zinc finger factors
MA0261.1	Q21446	Caenorhabditis elegans	6239	Unknown
MA0262.1	O18214	Caenorhabditis elegans	6239	Unknown
MA0263.1	P41935	Caenorhabditis elegans	6239	Paired-related HD factors
MA0264.1	P41936	Caenorhabditis elegans	6239	NK-related factors
MA0265.1	P14164	Saccharomyces cerevisiae	4932	Unknown
MA0266.1	Q02486	Saccharomyces cerevisiae	4932	Unknown
MA0267.1	P21192	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0268.1	P07248	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0269.1	P22149	Saccharomyces cerevisiae	4932	Unknown
MA0270.1	Q08957	Saccharomyces cerevisiae	4932	Unknown
MA0271.1	P07249	Saccharomyces cerevisiae	4932	Unknown
MA0272.1	P05085	Saccharomyces cerevisiae	4932	Unknown
MA0273.1	Q04052	Saccharomyces cerevisiae	4932	Unknown
MA0274.1	Q06596	Saccharomyces cerevisiae	4932	Unknown
MA0275.1	P40467	Saccharomyces cerevisiae	4932	Unknown
MA0276.1	P34233	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0277.1	P41696	Saccharomyces cerevisiae	4932	Unknown
MA0278.1	P22035	Saccharomyces cerevisiae	4932	Myb/SANT domain factors
MA0279.1	P24813	Saccharomyces cerevisiae	4932	Unknown
MA0280.1	P39113	Saccharomyces cerevisiae	4932	Unknown
MA0281.1	P17106	Saccharomyces cerevisiae	4932	Unknown
MA0282.1	P40969	Saccharomyces cerevisiae	4932	Unknown
MA0283.1	P43634	Saccharomyces cerevisiae	4932	Unknown
MA0284.1	P40917	Saccharomyces cerevisiae	4932	Unknown
MA0285.1	P53968	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0286.1	P40535	Saccharomyces cerevisiae	4932	Unknown
MA0287.1	P15315	Saccharomyces cerevisiae	4932	Unknown
MA0288.1	P41817	Saccharomyces cerevisiae	4932	TALE-type homeo domain factors
MA0289.1	P26343	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0290.1	P21657	Saccharomyces cerevisiae	4932	Unknown
MA0291.1	P21705	Saccharomyces cerevisiae	4932	Unknown
MA0292.1	Q05958	Saccharomyces cerevisiae	4932	Unknown
MA0293.1	Q02710	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0294.1	P38073	Saccharomyces cerevisiae	4932	Unknown
MA0295.1	P39521	Saccharomyces cerevisiae	4932	Forkhead box (FOX) factors
MA0296.1	P40466	Saccharomyces cerevisiae	4932	Forkhead box (FOX) factors
MA0297.1	P41813	Saccharomyces cerevisiae	4932	Forkhead box (FOX) factors
MA0298.1	P32805	Saccharomyces cerevisiae	4932	Factors with multiple dispersed zinc fingers
MA0299.1	P04386	Saccharomyces cerevisiae	4932	Unknown
MA0300.1	P43574	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0301.1	Q07928	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0302.1	P40569	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0303.1	P03069	Saccharomyces cerevisiae	4932	Unknown
MA0304.1	P07261	Saccharomyces cerevisiae	4932	Unknown
MA0305.1	Q01722	Saccharomyces cerevisiae	4932	Unknown
MA0306.1	Q03833	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0307.1	P18494	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0308.1	P42950	Saccharomyces cerevisiae	4932	Unknown
MA0309.1	P42944	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0310.1	P41546	Saccharomyces cerevisiae	4932	Unknown
MA0311.1	Q12180	Saccharomyces cerevisiae	4932	Unknown
MA0312.1	P0CE41	Saccharomyces cerevisiae	4932	Unknown
MA0313.1	P06774	Saccharomyces cerevisiae	4932	Heteromeric CCAAT-binding factors
MA0314.1	P13434	Saccharomyces cerevisiae	4932	Heteromeric CCAAT-binding factors
MA0316.1	Q02516	Saccharomyces cerevisiae	4932	Heteromeric CCAAT-binding factors
MA0317.1	P25364	Saccharomyces cerevisiae	4932	Forkhead box (FOX) factors
MA0318.1	P0CY13	Saccharomyces cerevisiae	4932	TALE-type homeo domain factors
MA0319.1	P10961	Saccharomyces cerevisiae	4932	HSF factors
MA0320.1	P21190	Saccharomyces cerevisiae	4932	Unknown
MA0321.1	P26798	Saccharomyces cerevisiae	4932	Unknown
MA0322.1	P13902	Saccharomyces cerevisiae	4932	Unknown
MA0323.1	P33417	Saccharomyces cerevisiae	4932	Unknown
MA0324.1	P08638	Saccharomyces cerevisiae	4932	Unknown
MA0325.1	P40971	Saccharomyces cerevisiae	4932	Unknown
MA0326.1	P35192	Saccharomyces cerevisiae	4932	Unknown
MA0327.1	P0CY11	Saccharomyces cerevisiae	4932	Unknown
MA0328.2	P0CY08	Saccharomyces cerevisiae S288c	559292	TALE-type homeo domain factors
MA0329.1	P39678	Saccharomyces cerevisiae	4932	Unknown
MA0330.1	P39678	Saccharomyces cerevisiae	4932	Unknown
MA0331.1	P11746	Saccharomyces cerevisiae	4932	Unknown
MA0332.1	P40573	Saccharomyces cerevisiae	4932	Unknown
MA0333.1	Q03081	Saccharomyces cerevisiae	4932	Unknown
MA0334.1	Q12041	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0335.1	P32389	Saccharomyces cerevisiae	4932	Unknown
MA0336.1	P53050	Saccharomyces cerevisiae	4932	HSF factors
MA0337.1	P27705	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0338.1	P53035	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0339.1	P39943	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0340.1	P54785	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0341.1	P33748	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0342.1	P33749	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0343.1	P38830	Saccharomyces cerevisiae	4932	Unknown
MA0344.1	Q03435	Saccharomyces cerevisiae	4932	Unknown
MA0345.1	P11632	Saccharomyces cerevisiae	4932	Unknown
MA0346.1	P11633	Saccharomyces cerevisiae	4932	Unknown
MA0347.1	Q03125	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0348.1	P39720	Saccharomyces cerevisiae	4932	Unknown
MA0349.1	P21957	Saccharomyces cerevisiae	4932	Unknown
MA0350.1	P34219	Saccharomyces cerevisiae	4932	Myb/SANT domain factors
MA0351.1	P40059	Saccharomyces cerevisiae	4932	Myb/SANT domain factors
MA0352.1	P12383	Saccharomyces cerevisiae	4932	Unknown
MA0353.1	P33200	Saccharomyces cerevisiae	4932	Unknown
MA0354.1	Q06149	Saccharomyces cerevisiae	4932	Unknown
MA0355.1	P36093	Saccharomyces cerevisiae	4932	Unknown
MA0356.1	P07269	Saccharomyces cerevisiae	4932	Unknown
MA0357.1	P07270	Saccharomyces cerevisiae	4932	Unknown
MA0358.1	P25502	Saccharomyces cerevisiae	4932	Unknown
MA0359.1	P11938	Saccharomyces cerevisiae	4932	Myb/SANT domain factors
MA0360.1	Q08904	Saccharomyces cerevisiae	4932	Unknown
MA0361.1	P25611	Saccharomyces cerevisiae	4932	Unknown
MA0362.1	P19541	Saccharomyces cerevisiae	4932	Unknown
MA0363.1	P21538	Saccharomyces cerevisiae	4932	Myb/SANT domain factors
MA0364.1	P38344	Saccharomyces cerevisiae	4932	Factors with multiple dispersed zinc fingers
MA0365.1	P48743	Saccharomyces cerevisiae	4932	RFX-related factors
MA0366.1	Q00453	Saccharomyces cerevisiae	4932	Unknown
MA0367.1	P32862	Saccharomyces cerevisiae	4932	Unknown
MA0368.1	P33400	Saccharomyces cerevisiae	4932	Factors with multiple dispersed zinc fingers
MA0369.1	Q12224	Saccharomyces cerevisiae	4932	Regulators of differentiation
MA0370.1	P32338	Saccharomyces cerevisiae	4932	Factors with multiple dispersed zinc fingers
MA0371.1	P25042	Saccharomyces cerevisiae	4932	Unknown
MA0372.1	P39956	Saccharomyces cerevisiae	4932	Other factors with up to three adjacent zinc fingers
MA0373.1	Q03465	Saccharomyces cerevisiae	4932	Unknown
MA0374.1	Q06639	Saccharomyces cerevisiae	4932	Unknown
MA0375.1	P38781	Saccharomyces cerevisiae	4932	Unknown
MA0376.1	P38165	Saccharomyces cerevisiae	4932	Unknown
MA0377.1	P20134	Saccharomyces cerevisiae	4932	HSF factors
MA0378.1	P32432	Saccharomyces cerevisiae	4932	Factors with multiple dispersed zinc fingers
MA0379.1	P34909	Saccharomyces cerevisiae	4932	Unknown
MA0380.1	P46954	Saccharomyces cerevisiae	4932	Unknown
MA0381.1	P38889	Saccharomyces cerevisiae	4932	HSF factors
MA0382.1	Q02100	Saccharomyces cerevisiae	4932	Unknown
MA0383.1	P38128	Saccharomyces cerevisiae	4932	Regulators of differentiation
MA0384.1	P53127	Saccharomyces cerevisiae	4932	Myb/SANT domain factors
MA0385.1	P53438	Saccharomyces cerevisiae	4932	Unknown
MA0386.1	P13393	Saccharomyces cerevisiae	4932	TBP-related factors
MA0387.1	P06843	Saccharomyces cerevisiae	4932	Unknown
MA0388.1	P35210	Saccharomyces cerevisiae	4932	Unknown
MA0389.1	P09007	Saccharomyces cerevisiae	4932	GATA-type zinc fingers
MA0390.1	Q12427	Saccharomyces cerevisiae	4932	Unknown
MA0391.1	P50104	Saccharomyces cerevisiae	4932	Unknown
MA0392.1	P38699	Saccharomyces cerevisiae	4932	Unknown
MA0393.1	P13574	Saccharomyces cerevisiae	4932	Unknown
MA0394.1	Q00947	Saccharomyces cerevisiae	4932	Factors with multiple dispersed zinc fingers
MA0395.1	P38704	Saccharomyces cerevisiae	4932	Factors with multiple dispersed zinc fingers
MA0396.1	Q05937	Saccharomyces cerevisiae	4932	Unknown
MA0397.1	Q07351	Saccharomyces cerevisiae	4932	Unknown
MA0398.1	P46676	Saccharomyces cerevisiae	4932	Unknown
MA0399.1	P53032	Saccharomyces cerevisiae	4932	Unknown
MA0400.1	Q12286	Saccharomyces cerevisiae	4932	Unknown
MA0401.1	P25302	Saccharomyces cerevisiae	4932	Unknown
MA0402.1	P08153	Saccharomyces cerevisiae	4932	Unknown
MA0403.1	Q02457	Saccharomyces cerevisiae	4932	Myb/SANT domain factors
MA0404.1	P38114	Saccharomyces cerevisiae	4932	Unknown
MA0405.1	P47988	Saccharomyces cerevisiae	4932	Unknown
MA0406.1	P18412	Saccharomyces cerevisiae	4932	Unknown
